genres,keywords,original_language,overview,production_companies,runtime,title,cast,director
Comedy,pregnancy and birth surrogate mother,en,"A successful, single businesswoman who dreams of having a baby discovers she is infertile and hires a working class woman to be her unlikely surrogate.","Relativity Media, Michaels-Goldwyn",99,Baby Mama,"Tina Fey, Amy Poehler, Dax Shepard, Sigourney Weaver, Greg Kinnear",Michael McCullers
Comedy,bride friendship engagement rivalry wedding,en,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,"Dune Entertainment, Regency Enterprises, Fox 2000 Pictures, Dune Entertainment III, New Regency Pictures, Sunrise Entertainment (II), Biride Productions",89,Bride Wars,"Anne Hathaway, Kate Hudson, Bryan Greenberg, Chris Pratt, Steve Howey",Gary Winick
"Fantasy, Romance, Comedy",paris painter detective based on novel screenwriter,en,A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,"Gravier Productions, Televisió de Catalunya (TV3), Versátil Cinema, Mediapro, Pontchartrain Productions",94,Midnight in Paris,"Owen Wilson, Rachel McAdams, Kurt Fuller, Mimi Kennedy, Michael Sheen",Woody Allen
"Adventure, Thriller, Action",paris london england france england san francisco,en,A newly developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin.,Eon Productions,131,A View to a Kill,"Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones, Patrick Macnee",John Glen
"Adventure, Animation, Comedy, Family",competition garden vegetable stop motion animation,en,"Cheese-loving eccentric Wallace and his cunning canine pal, Gromit, investigate a mystery in Nick Park's animated adventure, in which the lovable inventor and his intrepid pup run a business ridding the town of garden pests. Using only humane methods that turn their home into a halfway house for evicted vermin, the pair stumble upon a mystery involving a voracious vegetarian monster that threatens to ruin the annual veggie-growing contest.","Aardman Animations, DreamWorks Animation",85,The Curse of the Were-Rabbit,"Peter Sallis, Helena Bonham, Carter Ralph, Fiennes Nicholas, Smith Liz, Smith",Nick Park
"Romance, Comedy, Drama",italy letter romantic comedy american abroad boyfriend girlfriend,en,"An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover's Verona courtyard, which are typically answered by a the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter.","Summit Entertainment, Applehead Pictures",105,Letters to Juliet,"Amanda Seyfried, Christopher Egan, Gael García, Bernal Vanessa, Redgrave Franco, Nero",Gary Winick
Comedy,duringcreditsstinger,en,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality TV show.",Wessler Entertainment,92,The Three Stooges,"Sean Hayes, Will Sasso, Chris Diamantopoulos, Jane Lynch, Sofía Vergara",Bobby Farrelly
"Animation, Fantasy, Romance, Music",shyness england cheating old town grave,en,"Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.","Tim Burton Animation Company, Will Vinton Studios, Warner Bros., Tim Burton Productions, Laika Entertainment, Patalex Productions",77,Corpse Bride,"Johnny Depp, Helena Bonham, Carter Emily, Watson Tracey, Ullman Paul, Whitehouse",Tim Burton
"Thriller, Horror",gypsy work gore curse psychologist,en,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.","Universal Pictures, Ghost House Pictures, Mandate Pictures, Buckaroo Entertainment, Curse Productions",99,Drag Me to Hell,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao, David Paymer",Sam Raimi
"Fantasy, Romance, Drama",san francisco immortality love forever,en,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.","Lakeshore Entertainment, Sidney Kimmel Entertainment, Sierra/Affinity",112,The Age of Adaline,"Blake Lively, Michiel Huisman, Harrison Ford, Ellen Burstyn, Kathy Baker",Lee Toland Krieger
"Comedy, Family, Drama",texas money veteran,en,"""Secondhand Lions"" follows the comedic adventures of an introverted boy left on the doorstep of a pair of reluctant, eccentric great-uncles, whose exotic remembrances stir the boy's spirit and re-ignite the men's lives.",New Line Cinema,111,Secondhand Lions,"Michael Caine, Robert Duvall, Haley Joel, Osment Josh, Lucas Kyra, Sedgwick",Tim McCanlies
"Romance, Drama",musical duringcreditsstinger 3d,en,"A tight-knit group of New York City street dancers, including Luke and Natalie, team up with NYU freshman Moose, and find themselves pitted against the world's best hip hop dancers in a high-stakes showdown that will change their lives forever.","Summit Entertainment, Touchstone Pictures",107,Step Up 3D,"Rick Malambri, Adam G., Sevani Joe, Slaughter Sharni, Vinson Alyson, Stoner",Jon M. Chu
"Fantasy, Romance, Comedy, Drama",professor literature love romantic comedy author,en,"Everybody knows that your life is a story. But what if a story was your life? Harold Crick is your average IRS agent: monotonous, boring, and repetitive. But one day this all changes when Harold begins to hear an author inside his head narrating his life. But when the narration reveals he is going to die, Harold must find the author and convince them to change the ending.","Mandate Pictures, Three Strange Angels",113,Stranger Than Fiction,"Will Ferrell, Maggie Gyllenhaal, Dustin Hoffman, Emma Thompson, Queen Latifah",Marc Forster
"Thriller, Horror",sunrise winter vampire marriage crisis alaska,en,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.","Columbia Pictures, Dark Horse Entertainment, Ghost House Pictures, HorrorFlix",113,30 Days of Night,"Josh Hartnett, Melissa George, Ben Foster, Danny Huston, Mark Boone, Junior",David Slade
"Thriller, Horror",cabin plot twist cabin in the woods filmed killing video wall,en,"Five college friends spend the weekend at a remote cabin in the woods, where they get more than they bargained for. Together, they must discover the truth behind the cabin in the woods.","Lionsgate, Mutant Enemy Productions",95,The Cabin in the Woods,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz, Jesse Williams",Drew Goddard
Comedy,fight queen penguin black hole men,en,"From the creators of Scary Movie and Date Movie comes this tongue-in-cheek parody of the sword-and-sandal epics, dubbed Meet the Spartans. The 20th Century Fox production was written and directed by the filmmaking team of Jason Friedberg and Aaron Seltzer. Sure, Leonidas may have nothing more than a cape and some leather underwear to protect him from the razor-sharp swords of his Persian enemies,","Regency Enterprises, New Regency Pictures",84,Meet the Spartans,"Sean Maguire, Carmen Electra, Ken Davitian, Kevin Sorbo, Diedrich Bader",Jason Friedberg
"Adventure, Thriller, Action",assassin self sacrifice strip club secret agent training,en,"A 16-year-old girl raised by her father to be the perfect assassin is dispatched on a mission across Europe. Tracked by a ruthless operatives, she faces startling revelations about her existence and questions about her humanity.","Focus Features, Neunte Babelsberg Film, Holleran Company, Sechzehnte Babelsberg Film",111,Hanna,"Saoirse Ronan, Eric Bana, Vicky Krieps, Cate Blanchett, Tom Hollander",Joe Wright
"Romance, Comedy, Drama",classroom college teacher diner loss of job,en,"After losing his job, a middle-aged man reinvents himself by going back to college.","Universal Pictures, Playtone Productions, Vendome Pictures",98,Larry Crowne,"Tom Hanks, Julia Roberts, Bryan Cranston, Cedric the, Entertainer Pam, Grier",Tom Hanks
"Horror, Drama",terror based on novel power telekinesis high school,en,"A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.","Screen Gems, Metro-Goldwyn-Mayer (MGM), Misher Films",100,Carrie,"Chloë Grace, Moretz Julianne, Moore Judy, Greer Alex, Russell Portia, Doubleday",Kimberly Peirce
"Thriller, Crime, Drama",fraud cover-up murder drug prescription medication,en,A woman turns to prescription medication as a way of handling her anxiety concerning her husband's upcoming release from prison.,"Di Bonaventura Pictures, Endgame Entertainment, Universal, Open Road Films",106,Side Effects,"Jude Law, Rooney Mara, Catherine Zeta-Jones, Channing Tatum, Vinessa Shaw",Steven Soderbergh
"Animation, Family",owl tiger aftercreditsstinger duringcreditsstinger,en,"During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Pooh convinces Tigger, Rabbit, Piglet, Owl, Kanga, Roo, and Eeyore that their young friend has been captured by a creature named ""Backson"" and they set out to save him.","Walt Disney Pictures, Walt Disney Animation Studios",63,Winnie the Pooh,"Jim Cummings, Travis Oates, Bud Luckey, Craig Ferguson, Tom Kenny",Stephen Anderson
"Thriller, Action",cave water adventure,en,"The 3-D action-thriller Sanctum, from executive producer James Cameron, follows a team of underwater cave divers on a treacherous expedition to the largest, most beautiful and least accessible cave system on Earth. When a tropical storm forces them deep into the caverns, they must fight raging water, deadly terrain and creeping panic as they search for an unknown escape route to the sea. Master diver Frank McGuire (Richard Roxburgh) has explored the South Pacific's Esa-ala Caves for months. But when his exit is cut off in a flash flood, Frank's team--including 17-year-old son Josh (Rhys Wakefield) and financier Carl Hurley (Ioan Gruffudd)--are forced to radically alter plans. With dwindling supplies, the crew must navigate an underwater labyrinth to make it out. Soon, they are confronted with the unavoidable question: Can they survive, or will they be trapped forever?","Universal Pictures, Wayfare Entertainment, Sanctum Australia, Relativity Media, Great Wight Productions/ Osford Films, Start Motion Pictures",108,Sanctum,"Ioan Gruffudd, Richard Roxburgh, Alice Parkinson, Daniel Wyllie, Allison Cratchley",Alister Grierson
